Source,Target,Weight,Label,Type
4,712,1,Año,Dirigido
4,719,1,Año,Dirigido
4,720,1,Año,Dirigido
4,733,1,Año,Dirigido
4,735,1,Año,Dirigido
4,736,1,Año,Dirigido
4,737,1,Año,Dirigido
4,743,1,Año,Dirigido
4,747,1,Año,Dirigido
4,748,1,Año,Dirigido
4,753,1,Año,Dirigido
4,754,1,Año,Dirigido
4,763,1,Año,Dirigido
4,765,1,Año,Dirigido
4,768,1,Año,Dirigido
4,771,1,Año,Dirigido
4,772,1,Año,Dirigido
4,774,1,Año,Dirigido
4,780,1,Año,Dirigido
4,783,1,Año,Dirigido
4,790,1,Año,Dirigido
4,794,1,Año,Dirigido
4,795,1,Año,Dirigido
4,798,1,Año,Dirigido
4,809,1,Año,Dirigido
4,811,1,Año,Dirigido
4,813,1,Año,Dirigido
4,814,1,Año,Dirigido
4,820,1,Año,Dirigido
4,824,1,Año,Dirigido
4,826,1,Año,Dirigido
4,827,1,Año,Dirigido
4,828,1,Año,Dirigido
4,829,1,Año,Dirigido
4,882,1,Año,Dirigido
4,883,1,Año,Dirigido
4,884,1,Año,Dirigido
4,885,1,Año,Dirigido
4,887,1,Año,Dirigido
4,889,1,Año,Dirigido
4,890,1,Año,Dirigido
4,891,1,Año,Dirigido
4,892,1,Año,Dirigido
4,893,1,Año,Dirigido
4,894,1,Año,Dirigido
4,895,1,Año,Dirigido
4,897,1,Año,Dirigido
4,898,1,Año,Dirigido
4,899,1,Año,Dirigido
4,901,1,Año,Dirigido
4,905,1,Año,Dirigido
4,906,1,Año,Dirigido
4,907,1,Año,Dirigido
4,908,1,Año,Dirigido
4,910,1,Año,Dirigido
4,912,1,Año,Dirigido
4,913,1,Año,Dirigido
4,914,1,Año,Dirigido
4,915,1,Año,Dirigido
4,916,1,Año,Dirigido
4,919,1,Año,Dirigido
4,924,1,Año,Dirigido
4,938,1,Año,Dirigido
4,952,1,Año,Dirigido
4,964,1,Año,Dirigido
4,1006,1,Año,Dirigido
4,1007,1,Año,Dirigido
4,1008,1,Año,Dirigido
4,1010,1,Año,Dirigido
4,1011,1,Año,Dirigido
4,1013,1,Año,Dirigido
4,1014,1,Año,Dirigido
4,1016,1,Año,Dirigido
4,1017,1,Año,Dirigido
4,1018,1,Año,Dirigido
4,1021,1,Año,Dirigido
4,1022,1,Año,Dirigido
4,1024,1,Año,Dirigido
4,1026,1,Año,Dirigido
4,1029,1,Año,Dirigido
4,1031,1,Año,Dirigido
4,1032,1,Año,Dirigido
4,1033,1,Año,Dirigido
4,1034,1,Año,Dirigido
4,1036,1,Año,Dirigido
4,1038,1,Año,Dirigido
4,1039,1,Año,Dirigido
4,1040,1,Año,Dirigido
4,1042,1,Año,Dirigido
4,1044,1,Año,Dirigido
4,1054,1,Año,Dirigido
4,1055,1,Año,Dirigido
4,1057,1,Año,Dirigido
4,1058,1,Año,Dirigido
4,1059,1,Año,Dirigido
4,1061,1,Año,Dirigido
4,1065,1,Año,Dirigido
4,1066,1,Año,Dirigido
4,1067,1,Año,Dirigido
4,1070,1,Año,Dirigido
4,1073,1,Año,Dirigido
4,1074,1,Año,Dirigido
4,1075,1,Año,Dirigido
4,1080,1,Año,Dirigido
4,1089,1,Año,Dirigido
4,1108,1,Año,Dirigido
4,1170,1,Año,Dirigido
4,1171,1,Año,Dirigido
4,1172,1,Año,Dirigido
4,1173,1,Año,Dirigido
4,1174,1,Año,Dirigido
4,1175,1,Año,Dirigido
4,1176,1,Año,Dirigido
4,1177,1,Año,Dirigido
4,1178,1,Año,Dirigido
4,1179,1,Año,Dirigido
4,1180,1,Año,Dirigido
4,1182,1,Año,Dirigido
